160,"Clinton","And we need to be very clear about that.","9/26/16"
161,"Trump","So, yeah, I think -- I do think it's time. Look, it's all words, it's all sound bites. I built an unbelievable company. Some of the greatest assets anywhere in the world, real estate assets anywhere in the world, beyond the United States, in Europe, lots of different places. It's an unbelievable company. But on occasion, four times, we used certain laws that are there. And when Secretary Clinton talks about people that didn't get paid, first of all, they did get paid a lot, but taken advantage of the laws of the nation. Now, if you want to change the laws, you've been there a long time, change the laws. But I take advantage of the laws of the nation because I'm running a company. My obligation right now is to do well for myself, my family, my employees, for my companies. And that's what I do. But what she doesn't say is that tens of thousands of people that are unbelievably happy and that love me. I'll give you an example. We're just opening up on Pennsylvania Avenue right next to the White House, so if I don't get there one way, I'm going to get to Pennsylvania Avenue another. But we're opening the Old Post Office. Under budget, ahead of schedule, saved tremendous money. I'm a year ahead of schedule. And that's what this country should be doing. We build roads and they cost two and three and four times what they're supposed to cost. We buy products for our military and they come in at costs that are so far above what they were supposed to be, because we don't have people that know what they're doing. When we look at the budget, the budget is bad to a large extent because we have people that have no idea as to what to do and how to buy. The Trump International is way under budget and way ahead of schedule. And we should be able to do that for our country.","9/26/16"
162,"Holt","Well, we're well behind schedule, so I want to move to our next segment. We move into our next segment talking about America's direction. And let's start by talking about race. The share of Americans who say race relations are bad in this country is the highest it's been in decades, much of it amplified by shootings of African-Americans by police, as we've seen recently in Charlotte and Tulsa. Race has been a big issue in this campaign, and one of you is going to have to bridge a very wide and bitter gap. So how do you heal the divide? Secretary Clinton, you get two minutes on this.","9/26/16"
163,"Clinton","Well, you're right. Race remains a significant challenge in our country. Unfortunately, race still determines too much, often determines where people live, determines what kind of education in their public schools they can get, and, yes, it determines how they're treated in the criminal justice system. We've just seen those two tragic examples in both Tulsa and Charlotte. And we've got to do several things at the same time. We have to restore trust between communities and the police. We have to work to make sure that our police are using the best training, the best techniques, that they're well prepared to use force only when necessary. Everyone should be respected by the law, and everyone should respect the law.","9/26/16"
164,"Clinton","Right now, that's not the case in a lot of our neighborhoods. So I have, ever since the first day of my campaign, called for criminal justice reform. I've laid out a platform that I think would begin to remedy some of the problems we have in the criminal justice system. But we also have to recognize, in addition to the challenges that we face with policing, there are so many good, brave police officers who equally want reform. So we have to bring communities together in order to begin working on that as a mutual goal. And we've got to get guns out of the hands of people who should not have them. The gun epidemic is the leading cause of death of young African- American men, more than the next nine causes put together. So we have to do two things, as I said. We have to restore trust. We have to work with the police. We have to make sure they respect the communities and the communities respect them. And we have to tackle the plague of gun violence, which is a big contributor to a lot of the problems that we're seeing today.","9/26/16"
165,"Holt","All right, Mr. Trump, you have two minutes. How do you heal the divide?","9/26/16"
166,"Trump","Well, first of all, Secretary Clinton doesn't want to use a couple of words, and that's law and order. And we need law and order. If we don't have it, we're not going to have a country. And when I look at what's going on in Charlotte, a city I love, a city where I have investments, when I look at what's going on throughout various parts of our country, whether it's -- I mean, I can just keep naming them all day long -- we need law and order in our country. I just got today the, as you know, the endorsement of the Fraternal Order of Police, we just -- just came in. We have endorsements from, I think, almost every police group, very -- I mean, a large percentage of them in the United States. We have a situation where we have our inner cities, African- Americans, Hispanics are living in he'll because it's so dangerous. You walk down the street, you get shot. In Chicago, they've had thousands of shootings, thousands since January 1st. Thousands of shootings. And I'm saying, where is this? Is this a war-torn country? What are we doing? And we have to stop the violence. We have to bring back law and order. In a place like Chicago, where thousands of people have been killed, thousands over the last number of years, in fact, almost 4,000 have been killed since Barack Obama became president, over -- almost 4,000 people in Chicago have been killed. We have to bring back law and order. Now, whether or not in a place like Chicago you do stop and frisk, which worked very well, Mayor Giuliani is here, worked very well in New York. It brought the crime rate way down. But you take the gun away from criminals that shouldn't be having it. We have gangs roaming the street. And in many cases, they're illegally here, illegal immigrants. And they have guns. And they shoot people. And we have to be very strong. And we have to be very vigilant. We have to be -- we have to know what we're doing. Right now, our police, in many cases, are afraid to do anything. We have to protect our inner cities, because African-American communities are being decimated by crime, decimated.","9/26/16"
167,"Holt","Your two -- your two minutes expired, but I do want to follow up. Stop-and-frisk was ruled unconstitutional in New York, because it largely singled out black and Hispanic young men.","9/26/16"
168,"Trump","No, you're wrong. It went before a judge, who was a very against-police judge. It was taken away from her. And our mayor, our new mayor, refused to go forward with the case. They would have won an appeal. If you look at it, throughout the country, there are many places where it's allowed.","9/26/16"
169,"Holt","The argument is that it's a form of racial profiling.","9/26/16"
