165,"Clinton","And we're going to make sure that nobody, no corporation, and no individual can get away without paying his fair share to support our country. ","10/9/16"
166,"Cooper","Thank you. I want to give you -- Mr. Trump, I want to give you the chance to respond. I just wanted to tell our viewers what she's referring to. In the last month, taxes were the number-one issue on Facebook for the first time in the campaign. The New York Times published three pages of your 1995 tax returns. They show you claimed a $916 million loss, which means you could have avoided paying personal federal income taxes for years. You've said you pay state taxes, employee taxes, real estate taxes, property taxes. You have not answered, though, a simple question. Did you use that $916 million loss to avoid paying personal federal income taxes for years? ","10/9/16"
167,"Trump","Of course I do. Of course I do. And so do all of her donors, or most of her donors. I know many of her donors. Her donors took massive tax write-offs. ","10/9/16"
168,"Cooper","So have you (inaudible) personal federal income tax?","10/9/16"
169,"Trump","A lot of my -- excuse me, Anderson -- a lot of my write- off was depreciation and other things that Hillary as a senator allowed. And she'll always allow it, because the people that give her all this money, they want it. That's why. See, I understand the tax code better than anybody that's ever run for president. Hillary Clinton -- and it's extremely complex -- Hillary Clinton has friends that want all of these provisions, including they want the carried interest provision, which is very important to Wall Street people. But they really want the carried interest provision, which I believe Hillary's leaving. Very interesting why she's leaving carried interest. But I will tell you that, number one, I pay tremendous numbers of taxes. I absolutely used it. And so did Warren Buffett and so did George Soros and so did many of the other people that Hillary is getting money from. Now, I won't mention their names, because they're rich, but they're not famous. So we won't make them famous. ","10/9/16"
170,"Cooper","So can you -- can you say how many years you have avoided paying personal federal income taxes?","10/9/16"
171,"Trump","No, but I pay tax, and I pay federal tax, too. But I have a write-off, a lot of it's depreciation, which is a wonderful charge. I love depreciation. You know, she's given it to us. Hey, if she had a problem -- for 30 years she's been doing this, Anderson. I say it all the time. She talks about health care. Why didn't she do something about it? She talks about taxes. Why didn't she do something about it? She doesn't do anything about anything other than talk. With her, it's all talk and no action. ","10/9/16"
172,"Cooper","In the past...","10/9/16"
173,"Trump","And, again, Bernie Sanders, it's really bad judgment. She has made bad judgment not only on taxes. She's made bad judgments on Libya, on Syria, on Iraq. I mean, her and Obama, whether you like it or not, the way they got out of Iraq, the vacuum they've left, that's why ISIS formed in the first place. They started from that little area, and now they're in 32 different nations, Hillary. Congratulations. Great job. ","10/9/16"
174,"Cooper","Secretary -- I want you to be able to respond, Secretary Clinton. ","10/9/16"
175,"Clinton","Well, here we go again. I've been in favor of getting rid of carried interest for years, starting when I was a senator from New York. But that's not the point here. ","10/9/16"
